,Epochs,Training Loss,Validation Loss,Training Accuracy,Validation Accuracy
0,1,59.4230068327377,65.8193234976002,-0.6960041014986871,1.4505653477228213
1,2,24.476944862246434,27.380630610067314,3.45462946528377,2.741038192025784
2,3,13.33183972616758,15.475203747147884,10.517673533294968,5.84837482028171
3,4,8.800771238106082,12.42207839761264,20.270942557789184,15.256428769407655
4,5,4.608990724740567,12.473600884078628,43.55926232699015,35.66765850988158
5,6,6.909556989374172,8.748126606618337,59.46055566417856,48.111738155663474
6,7,5.945858903424188,5.915354245237989,71.09148914502408,63.19706675262841
7,8,5.311726713967567,9.329081327375366,76.57299485777241,73.20755315699543
8,9,6.335274765078487,7.12193306263744,78.87835335038021,74.99709223274353
9,10,2.357668989859823,8.364057860525621,78.44522451111446,73.19996916885262
10,11,4.862551145031501,11.404620846581848,80.15721146566425,76.91528942739403
11,12,5.773974148601914,10.150490611466347,80.90486083773185,76.86177556649815
12,13,3.671955131038908,8.755039664137025,81.30670007003755,73.60580829097061
13,14,4.395104829052012,9.248296171618373,79.22657667372428,76.14070182369109
14,15,3.7809968309684554,10.093473053853481,77.83773463643357,75.32316070471445
15,16,5.646213365022865,10.439633999408962,80.30290503926882,75.34198356929599
16,17,5.832486835696313,13.206946063304297,78.086272513603,74.37379298691448
17,18,3.984191592424477,12.917676307870211,83.01941785810068,75.75940006305129
18,19,3.2858316234478115,8.578063965708216,79.38763312259296,75.97852227439363
19,20,2.2931542789148636,11.178792642672718,80.08265850356067,78.64695681284904
20,21,6.540967463467329,8.230573585767766,78.91756392533293,76.30217312277765
21,22,4.45570919486485,8.676726079651113,78.67837123407828,74.97762868311986
22,23,4.393761161482341,7.427944420733961,80.08319785810163,77.25903545896217
23,24,3.2209085572934995,9.505370251050914,80.92848085860003,79.66136385086618
24,25,8.294572913378882,7.3213213253940275,80.1466530901669,75.82041564015775
25,26,6.980331258630779,9.349924962142596,82.26411373638571,75.80773292958479
26,27,1.7627834060102474,9.012560787034491,81.46262461691782,75.60021280333459
27,28,1.618742543448855,6.712281548872428,79.25043020072114,76.46732770918064
28,29,2.452007627295088,10.382306425778438,77.97888667206595,77.53547153750831
29,30,4.16520264469777,6.752914485688917,78.3812667344674,77.20760497330468
30,31,7.566618960140547,9.830622755384878,78.50927780487329,74.53923809110157
31,32,7.008581988247429,7.804050165740844,79.60190917846562,76.40723300586234
32,33,7.18107477285116,10.30657996220401,76.52865937942623,74.87762064208623
33,34,3.3789552459019845,8.32523779819698,82.44802557034177,76.88629964676849
34,35,7.692188514335207,8.174402088606234,81.42786076952956,73.2247112753593
35,36,6.199754304758899,10.209348728692326,78.36961920479452,75.52505056191109
36,37,1.8976247708257383,8.127482821813198,77.04327857949124,74.23865247485563
37,38,6.33154535852323,6.533273375392531,81.57550415800277,76.13861969635387
38,39,6.000956176971629,7.672640137910119,78.81451222154763,77.62405560836933
39,40,5.469304632002509,10.354015142891406,79.36741406124335,77.2572915764536
