,Epochs,Training Loss,Validation Loss,Training Accuracy,Validation Accuracy
0,1,63.90698043063347,60.78764141104845,-2.0239087234503796,2.60370799628608
1,2,26.045485626416497,31.051901965911224,3.531235463481541,3.081524785422019
2,3,15.019305448134016,19.416180452526074,1.0905046511189607,1.638264535486355
3,4,10.219412405756014,16.020070397841348,-4.433390824433049,2.438271918157026
4,5,10.489642493129992,9.316065467136482,0.7171719966358057,10.724979765889577
5,6,6.32421523365444,9.136274183919015,8.062791025235107,23.040500793645595
6,7,11.456668464180929,9.694492969760628,11.582944892851142,46.04588693324703
7,8,11.0793440473992,12.078896921060448,28.047646589100225,66.01270317933088
8,9,8.335287133881787,12.718688109557853,45.94302963100399,83.5078535396348
9,10,9.184150792625507,11.85302193663262,68.11000019881057,82.6880096868857
10,11,4.827220223700001,9.621060011589627,85.02047816748802,89.37545658426767
11,12,7.147577707281768,13.153010012735887,93.47378940286035,88.14196703843892
12,13,9.115337422684712,7.996844650980739,90.82405141841758,88.93420667280037
13,14,8.19499217530671,8.2501125923716,95.98308524795037,91.18695505035194
14,15,9.354807720260053,10.038364682137082,92.09453046060935,92.05351440798448
15,16,12.351319923337483,12.394306624193735,92.93175694562063,88.35014644670595
16,17,11.638070324358438,11.414108925505966,91.42122085127086,89.2504069453091
17,18,8.262255926724082,11.851373697101725,98.7444207401884,93.12934496161013
18,19,10.254238788660968,12.026978563808937,94.26556291177005,89.51508881167737
19,20,10.881395462042896,13.363976302178568,94.1127779376633,91.45908603837451
20,21,8.142838983355444,13.487975894474477,96.81761919571471,88.49915115796753
21,22,4.400379824785441,14.930434387076048,98.13190464245459,85.52782526979297
22,23,8.178215989329274,6.6062116177278165,96.45093741104814,91.56427489598195
23,24,10.258596002559512,8.908133807819882,95.94303255715201,93.16104822141718
24,25,7.848798341886802,9.054510617838128,97.38488497145815,90.12970320563181
25,26,9.494375066794742,9.257613958680688,98.26344301059002,88.13320421212286
26,27,10.556946530445549,9.474975394709457,91.19634595687523,87.5288241634239
27,28,12.722072996816848,11.525429615525287,95.00273571839466,90.38903359176662
28,29,10.753014142724068,11.16677874347791,93.59387962934261,93.2034969252073
29,30,10.637763831613215,11.984313602673675,96.48429830887271,93.26662022329032
30,31,6.304461829811424,14.651231753533768,99.55000628263991,87.4912986570078
31,32,7.870401007966954,10.277488641203085,92.35396142832515,91.80431969791594
32,33,4.672198499179763,7.65198423398906,100.59335010351332,88.48577674497292
33,34,3.9227031085384167,14.415988213458402,92.36871902533163,91.08443605285808
34,35,9.193463194935307,13.087688027924202,93.70471707503094,91.10737154825917
35,36,9.458370770231852,10.381287543319212,92.35409361745202,90.7687130107054
36,37,9.13137889870421,10.577104860548236,94.17435413602205,89.36257578770133
37,38,7.096923370881923,13.165574591735794,94.9026039509945,91.26766806822019
38,39,5.735159317746328,8.926658053781592,94.88131350576646,89.57048625644877
39,40,7.334789397345312,8.94129144647049,91.05477158629449,89.45538158322026
