,Epochs,Training Loss,Validation Loss,Training Accuracy,Validation Accuracy
0,1,63.29373388781835,65.53187924964902,0.7790578795660807,0.9558951527224826
1,2,28.65680374053084,31.751066723231983,0.10493853252813268,-0.13991640327632782
2,3,15.625717271143097,18.687298220678606,-0.7797698449762535,0.8994359516031958
3,4,9.403034965597552,14.201976622540078,0.3982938998219568,-0.21102369593170378
4,5,10.024125030481368,12.41650926487744,-1.6842076091990457,2.091550896935344
5,6,7.040204146942808,11.185358604963623,0.5219378272210793,4.559916558272953
6,7,7.072524112677948,11.227280607238589,4.08302452137863,8.95487334036328
7,8,8.259313756646154,9.81192468359975,9.883860670199857,17.68988057378203
8,9,9.207008680528295,11.266781462787057,23.069292304377875,40.54012882957083
9,10,7.022251462038144,10.893403142341832,42.42614459114692,55.14211385874061
10,11,6.709488077363461,10.905026196412626,64.52122994551058,68.09428585439485
11,12,8.324505893894989,11.560944696055705,76.33950904276345,71.51153379079932
12,13,8.248628640838092,9.246288398864028,82.82520631935604,73.97068110730807
13,14,10.133480722809566,11.91314253668895,84.45890389281335,73.29368846065367
14,15,8.949941122078664,10.781203454840627,85.58545531839265,74.27048312796538
15,16,7.103504192477413,10.226766858334718,85.47861571781695,74.99041403003856
16,17,6.835630814416107,12.552577304361371,85.54676223485784,75.41781549469201
17,18,9.035626472238462,12.102192725212499,86.11388137149562,74.02250282097302
18,19,7.403129316793213,10.582236152427898,84.8990416814599,76.5393204530994
19,20,7.951524856550406,10.15915224637013,85.72517834301858,73.9889023833066
20,21,9.707614671133511,11.695777966793319,87.05163920261258,73.6420528034412
21,22,7.953443147214906,12.098844536158106,84.7816770507455,76.71968246458817
22,23,7.975944202802212,10.635764094230282,87.06026433026253,76.13035448901304
23,24,7.6338866799205025,9.605348141280093,86.16071395660158,74.61468277670369
24,25,7.262520588210705,12.314574222528021,87.0405057482652,74.81128471771892
25,26,7.847372476630922,10.774682190677378,86.22818951360567,75.69639624767348
26,27,8.933686150363473,11.062227655555326,87.05916285105094,74.57862572836346
27,28,8.605508467090328,11.737475654054894,86.71357441079249,75.6896416989999
28,29,6.6730192586801635,11.0526632266524,84.7138656813429,76.18197503149128
29,30,8.075079044977588,11.869759643321574,85.93492629554596,75.58719101163165
30,31,6.766366814856266,12.66522067989288,85.77021785411411,73.49955520087477
31,32,7.187841105829335,13.253589412640267,86.0402188737053,74.80996400901084
32,33,10.242636513646461,10.748741717938897,86.61665859595713,74.92483398630267
33,34,7.86959855751727,11.926343579161935,85.1664729821072,74.87163881899991
34,35,7.456813095368133,9.991408241201341,85.30917983368366,74.79430449742799
35,36,8.42862972313357,11.328220806141468,86.61065373033875,76.12464250990509
36,37,7.731963375503036,11.711848036470167,87.49407271299349,74.92710107973781
37,38,7.494269001540823,10.101173123387612,85.58282630874608,74.38480673391922
38,39,7.924843690249718,11.724522404702885,85.98127705968191,74.44827962487352
39,40,9.123707036461706,9.885481445253154,86.17256328394646,73.99817362933695
